Time;L.AnkleF;L.AnkleS;L.HipF;L.HipR;L.HipS;L.Knee;L.ShoulderF;L.ShoulderS;R.AnkleF;R.AnkleS;R.HipF;R.HipR;R.HipS;R.Knee;R.ShoulderF;R.ShoulderS;TorsoR;L.HipF_real;L.HipS_real;L.HipR_real;L.Knee_real;L.AnkleF_real;L.AnkleS_real;R.HipF_real;R.HipS_real;R.HipR_real;R.Knee_real;R.AnkleF_real;R.AnkleS_real;TorsoS_real;TorsoF_real;TorsoR_real;L.ShoulderF_real;L.ShoulderS_real;L.ElbowR_real;L.Elbow_real;Neck_real;HeadR_real;HeadF_real;R.ShoulderF_real;R.ShoulderS_real;R.ElbowR_real;R.Elbow_real
0.165;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.420217;5.86989;-0.187294;19.6344;-1.27142;9.91375;-0.0611269;-2.59219;-0.0923706;19.6314;-1.15566;-10.3008;-0.0472411;-0.059411;-0.0686321;-18.1892;0.0269656;-14.992;-25.0004;-0.0233937;-0.0168693;-0.0274028;-18.1799;-0.0127953;14.9989;-24.9999
0.17;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.387408;6.08354;0.0902678;19.6305;-1.07796;10.4581;-0.183826;-2.59019;0.132233;19.6269;1.37754;-10.3666;0.157012;0.0277032;0.130211;-18.1614;0.114474;-14.9968;-24.9935;0.00467185;-0.0369671;-0.0222757;-18.2057;0.0519641;14.9884;-25.0141
0.175;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.297796;5.86861;0.0466092;19.6352;0.586741;9.86427;0.343121;-2.74272;0.183677;19.6294;-0.955309;-10.3355;-0.0723713;0.105048;0.189114;-18.1791;-0.0572915;-15.0096;-24.9966;-0.00468695;-0.0315713;0.0013114;-18.2191;-0.00281316;15.0022;-25.0175
0.18;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.500491;6.22768;0.097781;19.6382;-1.32227;10.2998;-0.242586;-2.5113;-0.0880797;19.6475;-0.271952;-9.74498;-0.180357;-0.180519;-0.252122;-18.1451;0.0410904;-14.9939;-25.0089;0.0179497;-0.0509306;0.0566359;-18.1746;-0.0411762;14.996;-24.9933
0.185;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.465573;6.28058;0.097016;19.6314;-0.892642;9.75184;0.564884;-2.73455;-0.117455;19.6322;-0.905171;-10.2952;0.112206;-0.0925638;0.115621;-18.1807;0.07087;-14.9941;-24.9973;0.0059286;0.0315555;-0.0170879;-18.1354;0.0266104;15.0036;-24.9951
0.19;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.43828;6.38705;-0.182124;19.6306;-0.627579;9.86558;0.171766;-2.26499;-0.062513;19.6371;-0.986638;-10.2993;-0.0822504;0.102917;0.0690942;-18.124;-0.0789251;-14.9977;-25.0023;0.0439864;0.0267743;-0.0468291;-18.1605;0.0864702;14.985;-24.9986
0.195;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.503139;6.42267;0.0676462;19.6385;0.856642;9.84353;-0.117409;-2.27025;0.0546415;19.6347;-1.12226;-10.3102;0.0713891;0.13674;-0.112819;-18.2006;-0.00723325;-14.997;-25.0037;-0.0280712;-0.0388844;0.0254903;-18.1988;-0.0118478;14.9987;-24.9976
0.2;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.355393;6.66777;0.114938;19.6385;-1.33831;10.3375;-0.212497;-2.10667;0.127369;19.638;-0.311633;-9.66856;0.113572;0.12226;-0.112697;-18.1619;-0.0468163;-15.0032;-25.0038;0.00483577;-0.0740283;0.0513903;-18.164;0.0407899;14.9965;-25.0037
0.205;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.392811;6.73487;0.0827546;19.6331;-0.46952;10.1714;-0.519204;-2.10681;0.121769;19.6304;0.657337;-10.3547;-0.0987874;-0.113002;-0.0742597;-18.1627;-0.0481108;-14.9952;-24.9991;-0.012959;0.0262006;-0.00749079;-18.2031;-0.0444268;14.9953;-24.9923
0.21;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.52686;6.83685;-0.072946;19.6314;-1.02058;10.3323;-0.362565;-2.07317;-0.0626221;19.6208;-0.69979;-10.2605;-0.114104;-0.0138669;-0.0338661;-18.1871;0.0208457;-15.0081;-24.9987;-0.0105381;-0.0508976;0.00942566;-18.171;0.0315828;14.9977;-24.9997
